"product_id","product_name","in_stock","available_units","price","seller_id","category_id"
"P1812000482721","Elegant Razor","yes",462,2.99,"S1212000067215","C1912000002562"
"P1812000285216","Reliable Face Cream","yes",253,3.99,"S1212000102579","C1912000002562"
"P1812000247716","High-Performance Face Cream","yes",86,2.99,"S1212000102579","C1912000002562"
"P1812000458207","Elegant Perfume","yes",102,2.99,"S1212000069873","C1912000002562"
"P1812000110747","Eco-Friendly Razor","yes",81,3.99,"S1212000067215","C1912000002562"
"P1812000373902","Robust Razor","yes",0,3.99,"S1212000102579","C1912000002562"
"P1812000271770","Dynamic Printer","yes",4,31.99,"S1212000107946","C1912000004625"
"P1812000149942","Dynamic Laptop","yes",203,33.99,"S1212000107946","C1912000004625"
"P1812000315123","Powerful Printer","yes",176,26.99,"S1212000147888","C1912000004625"
"P1812000430745","Flexible Printer","no",0,23.99,"S1212000147888","C1912000004625"
"P1812000184926","Elegant Laptop","yes",122,26.99,"S1212000107946","C1912000004625"
"P1812000292757","Stylish Laptop","yes",293,33.99,"S1212000107946","C1912000004625"
"P1812000276759","Reliable Printer","yes",0,39.99,"S1212000107946","C1912000004625"
"P1812000098257","Sleek Printer","yes",122,28.99,"S1212000107946","C1912000004625"
"P1812000443430","Innovative Printer","yes",375,37.99,"S1212000107946","C1912000004625"
"P1812000417519","Sustainable Laptop","yes",12,27.99,"S1212000147888","C1912000004625"
"P1812000311357","Trendy Laptop","yes",413,29.99,"S1212000107946","C1912000004625"
"P1812000144883","Practical Laptop","yes",358,29.99,"S1212000107946","C1912000004625"
"P1812000138259","Luxurious Laptop","yes",304,31.99,"S1212000147888","C1912000004625"
"P1812000054821","Practical Television","yes",353,70.99,"S1212000078473","C1912000005294"
"P1812000349833","Sustainable Television","yes",455,69.99,"S1212000007217","C1912000005294"
"P1812000015702","Powerful Television","yes",328,65.99,"S1212000080133","C1912000005294"
"P1812000068705","Affordable Earphones","yes",497,52.99,"S1212000078473","C1912000005294"
"P1812000168705","Compact Earphones","yes",348,46.99,"S1212000007217","C1912000005294"
"P1812000463405","User-Friendly Earphones","yes",2,69.99,"S1212000007217","C1912000005294"
"P1812000097209","Stylish Headphones","yes",216,63.99,"S1212000080133","C1912000005294"
"P1812000223334","Sleek Headphones","yes",493,66.99,"S1212000045323","C1912000005294"
"P1812000256717","Ergonomic Speaker","yes",170,57.99,"S1212000078473","C1912000005294"
"P1812000228726","Compact Earphones","yes",453,58.99,"S1212000100582","C1912000005294"
"P1812000082112","Practical Television","yes",139,68.99,"S1212000080133","C1912000005294"
"P1812000014701","Flexible Gaming Console","yes",190,47.99,"S1212000045323","C1912000005294"
"P1812000338442","Practical Headphones","yes",204,64.99,"S1212000012473","C1912000005294"
"P1812000127342","Fashionable Gaming Console","yes",482,44.99,"S1212000007217","C1912000005294"
"P1812000206480","Fashionable Gaming Console","yes",59,55.99,"S1212000100582","C1912000005294"
"P1812000378422","Durable Television","yes",280,55.99,"S1212000012473","C1912000005294"
"P1812000236663","Chic Speaker","yes",491,57.99,"S1212000012473","C1912000005294"
"P1812000376274","Versatile Headphones","no",0,64.99,"S1212000080133","C1912000005294"
"P1812000081615","Stylish Gaming Console","yes",369,67.99,"S1212000012473","C1912000005294"
"P1812000187732","Innovative Headphones","yes",209,44.99,"S1212000045323","C1912000005294"
"P1812000119226","Gorgeous Television","yes",271,48.99,"S1212000095770","C1912000005294"
"P1812000016867","Compact Gaming Console","yes",71,65.99,"S1212000012473","C1912000005294"
"P1812000243567","Robust Television","yes",177,63.99,"S1212000012473","C1912000005294"
"P1812000485154","Comfortable Television","yes",351,46.99,"S1212000078473","C1912000005294"
"P1812000308448","Sleek Gaming Console","yes",379,42.99,"S1212000012473","C1912000005294"
"P1812000491403","Fashionable Television","yes",500,58.99,"S1212000078473","C1912000005294"
"P1812000023125","Futuristic Headphones","yes",340,59.99,"S1212000007217","C1912000005294"
"P1812000440859","Versatile Headphones","yes",218,68.99,"S1212000007217","C1912000005294"
"P1812000462640","Eco-Friendly Earphones","yes",296,53.99,"S1212000012473","C1912000005294"
"P1812000078473","Affordable Earphones","yes",176,43.99,"S1212000100582","C1912000005294"
"P1812000025525","Sophisticated Speaker","no",0,60.99,"S1212000007217","C1912000005294"
"P1812000093979","Sophisticated Speaker","yes",457,44.99,"S1212000012473","C1912000005294"
"P1812000321476","Flexible Speaker","yes",355,64.99,"S1212000012473","C1912000005294"
"P1812000202903","Versatile Speaker","yes",0,64.99,"S1212000007217","C1912000005294"
"P1812000003278","Sophisticated Speaker","yes",208,42.99,"S1212000080133","C1912000005294"
"P1812000056958","Luxurious Gaming Console","yes",344,49.99,"S1212000080133","C1912000005294"
"P1812000263618","Reliable Speaker","yes",454,68.99,"S1212000100582","C1912000005294"
"P1812000232304","Stylish Earphones","yes",0,58.99,"S1212000012473","C1912000005294"
"P1812000033472","Dynamic Gaming Console","yes",249,54.99,"S1212000095770","C1912000005294"
"P1812000142104","Stylish Gaming Console","yes",237,51.99,"S1212000080133","C1912000005294"
"P1812000172409","Stylish Speaker","no",0,53.99,"S1212000080133","C1912000005294"
"P1812000238490","Innovative Gaming Console","yes",252,67.99,"S1212000007217","C1912000005294"
"P1812000103810","Versatile Earphones","no",0,46.99,"S1212000078473","C1912000005294"
"P1812000481678","Sleek Headphones","yes",495,39.99,"S1212000080133","C1912000005294"
"P1812000404724","Flexible Headphones","yes",0,69.99,"S1212000078473","C1912000005294"
"P1812000147888","Powerful Headphones","yes",203,70.99,"S1212000012473","C1912000005294"
"P1812000106989","Dynamic Speaker","yes",25,56.99,"S1212000100582","C1912000005294"
"P1812000363264","Reliable Headphones","yes",400,41.99,"S1212000095770","C1912000005294"
"P1812000114461","Sleek Speaker","yes",256,42.99,"S1212000045323","C1912000005294"
"P1812000087407","Robust Speaker","no",0,43.99,"S1212000045323","C1912000005294"
"P1812000494521","Elegant Gaming Console","yes",57,53.99,"S1212000078473","C1912000005294"
"P1812000179151","Modern Television","yes",194,40.99,"S1212000045323","C1912000005294"
"P1812000332179","Luxurious Speaker","yes",482,39.99,"S1212000080133","C1912000005294"
"P1812000347321","Stylish Television","yes",0,43.99,"S1212000078473","C1912000005294"
"P1812000359736","Elegant Gaming Console","yes",282,45.99,"S1212000078473","C1912000005294"
"P1812000171443","Affordable Television","yes",366,51.99,"S1212000045323","C1912000005294"
"P1812000146899","Sustainable Earphones","no",0,59.99,"S1212000045323","C1912000005294"
"P1812000410130","Premium Headphones","no",0,70.99,"S1212000007217","C1912000005294"
"P1812000317229","Dynamic Television","yes",490,66.99,"S1212000012473","C1912000005294"
"P1812000273756","Fashionable Gaming Console","yes",208,66.99,"S1212000078473","C1912000005294"
"P1812000169599","Innovative Headphones","yes",40,52.99,"S1212000007217","C1912000005294"
"P1812000453567","Stylish Speaker","yes",213,42.99,"S1212000045323","C1912000005294"
"P1812000439964","Eco-Friendly Earphones","no",0,70.99,"S1212000007217","C1912000005294"
"P1812000150337","Eco-Friendly Yoga Mat","yes",157,3.99,"S1212000117429","C1912000006917"
"P1812000431563","Stylish Fitness Tracker","yes",0,4.99,"S1212000117429","C1912000006917"
"P1812000465173","Premium Fitness Tracker","yes",275,3.99,"S1212000003278","C1912000006917"
"P1812000280677","Modern Gym Equipment","yes",30,3.99,"S1212000063189","C1912000006917"
"P1812000408560","Eco-Friendly Fitness Tracker","yes",241,4.99,"S1212000035242","C1912000006917"
"P1812000490961","Flexible Yoga Mat","yes",268,2.99,"S1212000063189","C1912000006917"
"P1812000295233","Eco-Friendly Yoga Mat","yes",355,2.99,"S1212000196809","C1912000006917"
"P1812000191976","Sleek Gym Equipment","no",0,3.99,"S1212000003278","C1912000006917"
"P1812000028310","Trendy Gym Equipment","yes",249,3.99,"S1212000119226","C1912000006917"
"P1812000120311","Sleek Fitness Tracker","yes",218,2.99,"S1212000003278","C1912000006917"
"P1812000096220","Innovative Yoga Mat","yes",419,3.99,"S1212000135765","C1912000006917"
"P1812000167385","Stylish Fitness Tracker","yes",104,2.99,"S1212000196809","C1912000006917"
"P1812000449379","Gorgeous Yoga Mat","no",0,2.99,"S1212000200771","C1912000006917"
"P1812000367495","Elegant Fitness Tracker","yes",262,2.99,"S1212000117429","C1912000006917"
"P1812000034943","Innovative Fitness Tracker","yes",247,4.99,"S1212000196809","C1912000006917"
"P1812000264856","Stylish Fitness Tracker","yes",154,3.99,"S1212000200771","C1912000006917"
"P1812000265765","Sleek Running Shoes","yes",157,4.99,"S1212000035242","C1912000006917"
"P1812000108184","Affordable Running Shoes","no",0,3.99,"S1212000196809","C1912000006917"
"P1812000104166","Stylish Yoga Mat","yes",143,4.99,"S1212000003278","C1912000006917"
"P1812000281615","Modern Running Shoes","yes",277,2.99,"S1212000119226","C1912000006917"
"P1812000284488","Stylish Fitness Tracker","yes",125,3.99,"S1212000035242","C1912000006917"
"P1812000005294","Stylish Fitness Tracker","yes",279,3.99,"S1212000035242","C1912000006917"
"P1812000313485","Sleek Gym Equipment","yes",489,4.99,"S1212000135765","C1912000006917"
"P1812000493764","Flexible Fitness Tracker","yes",261,3.99,"S1212000003278","C1912000006917"
"P1812000421511","Fashionable Fitness Tracker","no",0,2.99,"S1212000035242","C1912000006917"
"P1812000140254","Innovative Running Shoes","no",0,3.99,"S1212000196809","C1912000006917"
"P1812000035242","Powerful Gym Equipment","yes",420,3.99,"S1212000117429","C1912000006917"
"P1812000283324","Gorgeous Fitness Tracker","yes",0,2.99,"S1212000035242","C1912000006917"
"P1812000198811","Reliable Fitness Tracker","yes",379,2.99,"S1212000035242","C1912000006917"
"P1812000434498","Compact Fitness Tracker","no",0,2.99,"S1212000035242","C1912000006917"
"P1812000445207","Practical Running Shoes","no",0,2.99,"S1212000135765","C1912000006917"
"P1812000305810","Eco-Friendly Running Shoes","yes",343,3.99,"S1212000003278","C1912000006917"
"P1812000129946","Fashionable Running Shoes","yes",134,3.99,"S1212000111150","C1912000006917"
"P1812000323269","Fashionable Gym Equipment","no",0,3.99,"S1212000120311","C1912000006917"
"P1812000075258","Portable Yoga Mat","yes",450,3.99,"S1212000120311","C1912000006917"
"P1812000012473","Durable Luggage","yes",0,3.99,"S1212000199527","C1912000007217"
"P1812000267823","Innovative Tablet","yes",0,3.99,"S1212000108184","C1912000007217"
"P1812000024618","Innovative Alarm Clock","yes",201,3.99,"S1212000199527","C1912000007217"
"P1812000029689","High-Quality Cookware Set","yes",359,3.99,"S1212000192805","C1912000007217"
"P1812000046265","Compact Luggage","yes",16,3.99,"S1212000192805","C1912000007217"
"P1812000007217","High-Performance Luggage","yes",70,3.99,"S1212000192805","C1912000007217"
"P1812000389496","User-Friendly Couch","yes",271,3.99,"S1212000108184","C1912000007217"
"P1812000063189","Robust Luggage","yes",98,4.99,"S1212000199527","C1912000007217"
"P1812000319802","Elegant Mattress","yes",266,3.99,"S1212000108184","C1912000007217"
"P1812000199527","Powerful Mattress","yes",117,4.99,"S1212000108184","C1912000007217"
"P1812000175971","Elegant Dining Table","yes",128,2.99,"S1212000108184","C1912000007217"
"P1812000040941","Innovative Luggage","yes",184,3.99,"S1212000108184","C1912000007217"
"P1812000391841","Futuristic Curtains","yes",221,4.99,"S1212000055964","C1912000007217"
"P1812000042408","Fashionable Desk","yes",332,2.99,"S1212000055964","C1912000007217"
"P1812000160182","Practical Dining Table","yes",364,2.99,"S1212000108184","C1912000007217"
"P1812000058393","Sleek Alarm Clock","yes",0,4.99,"S1212000055964","C1912000007217"
"P1812000368965","Modern Desk","yes",149,2.99,"S1212000055964","C1912000007217"
"P1812000154921","Trendy Mattress","yes",328,4.99,"S1212000055964","C1912000007217"
"P1812000384457","Flexible Dining Table","yes",318,3.99,"S1212000199527","C1912000007217"
"P1812000130891","Innovative Dining Table","yes",12,2.99,"S1212000055964","C1912000007217"
"P1812000049680","High-Quality Alarm Clock","yes",243,3.99,"S1212000055964","C1912000007217"
"P1812000252745","Ergonomic Luggage","yes",236,4.99,"S1212000055964","C1912000007217"
"P1812000011113","Chic Bed","yes",235,3.99,"S1212000055964","C1912000007217"
"P1812000213364","Practical Luggage","yes",205,4.99,"S1212000055964","C1912000007217"
"P1812000497892","Durable Tablet","yes",179,3.99,"S1212000199527","C1912000007217"
"P1812000041122","Chic Dining Table","yes",369,4.99,"S1212000199527","C1912000007217"
"P1812000189401","Sophisticated Couch","yes",140,3.99,"S1212000108184","C1912000007217"
"P1812000043234","Fashionable Curtains","yes",398,4.99,"S1212000055964","C1912000007217"
"P1812000488990","Compact Couch","yes",0,4.99,"S1212000055964","C1912000007217"
"P1812000461360","Trendy Couch","yes",163,4.99,"S1212000055964","C1912000007217"
"P1812000207644","Ergonomic Dining Table","yes",30,2.99,"S1212000192805","C1912000007217"
"P1812000208139","Compact Couch","yes",144,3.99,"S1212000192805","C1912000007217"
"P1812000062530","User-Friendly Curtains","yes",167,3.99,"S1212000199527","C1912000007217"
"P1812000303920","Stylish Bed","yes",416,3.99,"S1212000055964","C1912000007217"
"P1812000224388","High-Performance Tablet","yes",0,3.99,"S1212000055964","C1912000007217"
"P1812000427303","Robust Luggage","yes",496,2.99,"S1212000055964","C1912000007217"
"P1812000065322","Fashionable Couch","yes",494,3.99,"S1212000055964","C1912000007217"
"P1812000066627","Elegant Alarm Clock","yes",348,3.99,"S1212000108184","C1912000007217"
"P1812000053240","Chic Alarm Clock","yes",289,3.99,"S1212000055964","C1912000007217"
"P1812000242259","Compact Couch","yes",15,4.99,"S1212000192805","C1912000007217"
"P1812000190696","User-Friendly Tablet","yes",463,2.99,"S1212000108184","C1912000007217"
"P1812000380476","Ergonomic Curtains","yes",65,4.99,"S1212000108184","C1912000007217"
"P1812000031654","Fashionable Cookware Set","yes",73,4.99,"S1212000199527","C1912000007217"
"P1812000220930","Eco-Friendly Pillow","yes",457,4.99,"S1212000108184","C1912000007217"
"P1812000436414","Stylish Cookware Set","yes",26,4.99,"S1212000199527","C1912000007217"
"P1812000182276","Stylish Bed","yes",215,3.99,"S1212000199527","C1912000007217"
"P1812000196809","Practical Couch","yes",61,4.99,"S1212000055964","C1912000007217"
"P1812000318264","Affordable Tablet","yes",0,4.99,"S1212000192805","C1912000007217"
"P1812000117429","Robust Curtains","yes",417,3.99,"S1212000192805","C1912000007217"
"P1812000360910","Trendy Dining Table","yes",0,3.99,"S1212000192805","C1912000007217"
"P1812000200771","Innovative Desk","yes",0,3.99,"S1212000108184","C1912000007217"
"P1812000442147","Fashionable Dining Table","yes",326,2.99,"S1212000108184","C1912000007217"
"P1812000107946","Versatile Tablet","no",0,2.99,"S1212000199527","C1912000007217"
"P1812000122884","Innovative Dining Table","yes",343,3.99,"S1212000192805","C1912000007217"
"P1812000002562","Advanced Couch","no",0,4.99,"S1212000192805","C1912000007217"
"P1812000165868","Eco-Friendly Tablet","yes",298,3.99,"S1212000055964","C1912000007217"
"P1812000166779","Fashionable Tablet","yes",152,3.99,"S1212000055964","C1912000007217"
"P1812000287747","High-Performance Bed","yes",386,4.99,"S1212000055964","C1912000007217"
"P1812000155236","Efficient Pillow","yes",481,4.99,"S1212000192805","C1912000007217"
"P1812000290696","Stylish Luggage","yes",438,3.99,"S1212000199527","C1912000007217"
"P1812000089188","Sleek Bed","no",0,3.99,"S1212000192805","C1912000007217"
"P1812000413193","Durable Bed","no",0,4.99,"S1212000055964","C1912000007217"
"P1812000212224","Premium Tablet","yes",175,4.99,"S1212000199527","C1912000007217"
"P1812000253446","Modern Curtains","yes",72,3.99,"S1212000108184","C1912000007217"
"P1812000214874","Sustainable Pillow","yes",439,4.99,"S1212000108184","C1912000007217"
"P1812000254228","Efficient Desk","yes",259,3.99,"S1212000055964","C1912000007217"
"P1812000390503","Advanced Cookware Set","yes",167,3.99,"S1212000108184","C1912000007217"
"P1812000379214","Innovative Cookware Set","yes",200,3.99,"S1212000108184","C1912000007217"
"P1812000459107","Sleek Pillow","yes",92,3.99,"S1212000108184","C1912000007217"
"P1812000192805","Ergonomic Couch","yes",398,3.99,"S1212000192805","C1912000007217"
"P1812000300546","Chic Couch","yes",0,3.99,"S1212000199527","C1912000007217"
"P1812000355783","Eco-Friendly Tablet","yes",181,4.99,"S1212000199527","C1912000007217"
"P1812000101576","High-Performance Couch","yes",460,3.99,"S1212000192805","C1912000007217"
"P1812000222637","Powerful Luggage","yes",227,3.99,"S1212000055964","C1912000007217"
"P1812000183653","Compact Luggage","yes",261,3.99,"S1212000199527","C1912000007217"
"P1812000225284","Sleek Cookware Set","yes",0,2.99,"S1212000199527","C1912000007217"
"P1812000468366","Versatile Desk","yes",87,4.99,"S1212000108184","C1912000007217"
"P1812000227512","Stylish Bed","yes",432,3.99,"S1212000192805","C1912000007217"
"P1812000186622","Fashionable Desk","yes",114,4.99,"S1212000055964","C1912000007217"
"P1812000403110","Gorgeous Pillow","yes",301,4.99,"S1212000108184","C1912000007217"
"P1812000162978","Gorgeous Tablet","yes",464,3.99,"S1212000055964","C1912000007217"
"P1812000432483","Stylish Tablet","yes",472,4.99,"S1212000108184","C1912000007217"
"P1812000164295","Eco-Friendly Mattress","no",0,4.99,"S1212000192805","C1912000007217"
"P1812000032970","Stylish Bed","yes",224,3.99,"S1212000199527","C1912000007217"
"P1812000394491","Ergonomic Dining Table","yes",377,3.99,"S1212000192805","C1912000007217"
"P1812000356396","Robust Luggage","yes",384,4.99,"S1212000199527","C1912000007217"
"P1812000316565","Innovative Luggage","yes",188,3.99,"S1212000055964","C1912000007217"
"P1812000116709","Stylish Couch","yes",75,3.99,"S1212000108184","C1912000007217"
"P1812000278337","Comfortable Couch","yes",371,3.99,"S1212000055964","C1912000007217"
"P1812000331163","Dynamic Curtains","yes",0,4.99,"S1212000199527","C1912000007217"
"P1812000361138","Versatile Bed","yes",396,3.99,"S1212000199527","C1912000007217"
"P1812000454926","Elegant Bed","yes",0,3.99,"S1212000192805","C1912000007217"
"P1812000429472","Gorgeous Desk","yes",39,4.99,"S1212000199527","C1912000007217"
"P1812000307309","Elegant Alarm Clock","yes",424,4.99,"S1212000108184","C1912000007217"
"P1812000163138","Premium Tablet","yes",266,4.99,"S1212000199527","C1912000007217"
"P1812000095770","Fashionable Alarm Clock","yes",316,3.99,"S1212000192805","C1912000007217"
"P1812000448269","Affordable Luggage","yes",335,2.99,"S1212000108184","C1912000007217"
"P1812000406485","Reliable Bed","yes",441,4.99,"S1212000055964","C1912000007217"
"P1812000193718","Fashionable Alarm Clock","yes",130,3.99,"S1212000108184","C1912000007217"
"P1812000450447","Trendy Tablet","yes",379,4.99,"S1212000199527","C1912000007217"
